iter	Passed	Remaining
271	935	2504
272	938	2500
273	941	2494
274	943	2487
275	947	2484
276	950	2480
277	953	2476
278	956	2472
279	960	2470
280	963	2465
281	967	2464
282	971	2460
283	974	2455
284	977	2451
285	980	2446
286	982	2440
287	985	2436
288	987	2430
289	989	2423
290	993	2420
291	997	2419
292	1000	2413
293	1004	2411
294	1006	2405
295	1009	2401
296	1012	2395
297	1014	2390
298	1017	2385
299	1019	2379
300	1023	2377
301	1025	2371
302	1028	2365
303	1031	2360
304	1034	2356
305	1036	2350
306	1039	2345
307	1041	2340
308	1044	2335
309	1046	2330
310	1049	2324
311	1051	2317
312	1053	2312
313	1055	2306
314	1058	2300
315	1061	2296
316	1063	2290
317	1065	2285
318	1067	2279
319	1070	2274
320	1072	2269
321	1074	2262
322	1077	2257
323	1080	2255
324	1084	2252
325	1086	2246
326	1089	2241
327	1091	2236
328	1093	2230
329	1095	2225
330	1101	2226
331	1104	2221
332	1106	2217
333	1109	2213
334	1111	2207
335	1115	2203
336	1117	2197
337	1119	2192
338	1121	2187
339	1123	2181
340	1126	2176
341	1128	2170
342	1129	2164
343	1132	2159
344	1134	2153
345	1136	2147
346	1139	2144
347	1141	2138
348	1144	2134
349	1146	2130
350	1149	2125
351	1153	2122
352	1155	2118
353	1157	2113
354	1159	2107
355	1162	2102
356	1165	2098
357	1168	2095
358	1171	2092
359	1174	2088
360	1177	2084
361	1180	2080
362	1183	2076
363	1185	2071
364	1189	2069
365	1191	2063
366	1195	2061
367	1196	2055
368	1199	2050
369	1201	2046
370	1203	2041
371	1206	2036
372	1208	2031
373	1211	2028
374	1215	2025
375	1221	2027
376	1224	2023
377	1228	2021
378	1230	2016
379	1233	2012
380	1235	2006
381	1238	2003
382	1240	1998
383	1242	1993
384	1245	1989
385	1247	1984
386	1249	1979
387	1252	1975
388	1254	1970
389	1257	1967
390	1259	1962
391	1262	1957
392	1264	1953
393	1269	1953
394	1272	1949
395	1277	1949
396	1281	1946
397	1284	1943
398	1287	1939
399	1290	1936
400	1293	1931
401	1296	1928
402	1299	1924
403	1302	1921
404	1304	1915
405	1306	1910
406	1308	1906
407	1310	1902
408	1316	1901
409	1318	1897
410	1322	1895
411	1325	1891
412	1329	1889
413	1333	1887
414	1338	1886
415	1341	1883
416	1344	1879
417	1347	1876
418	1349	1871
419	1352	1867
420	1354	1862
421	1357	1858
422	1359	1854
423	1361	1849
424	1363	1845
425	1366	1840
426	1368	1836
427	1371	1832
428	1372	1827
429	1375	1822
430	1377	1818
431	1380	1814
432	1382	1810
433	1384	1805
434	1386	1800
